ID,Symptoms/Question,Disease Prediction,Recommended Medicines,Advice,clean_question,symptom_tags
1,muscle cramps and weakness,Electrolyte Imbalance,"Electrolyte solution, Potassium supplements","Stay hydrated, maintain balanced diet.",muscle cramps and weakness,cramps
2,cold hands and feet,Raynaud's Disease,"Nifedipine, Losartan","Keep warm, reduce stress.",cold hands and feet,cold
3,back pain and stiffness,Herniated Disc,"Ibuprofen, Muscle relaxants","Maintain good posture, apply cold/heat.",back pain and stiffness,"back,pain"
4,headache and nausea,Migraine,"Sumatriptan, Naproxen","Avoid triggers, rest in a dark room.",headache and nausea,headache
5,persistent cough with mucus,Bronchitis,"Azithromycin, Cough suppressants","Drink fluids, avoid smoke.",persistent cough with mucus,cough
6,joint pain and swelling,Rheumatoid Arthritis,"Methotrexate, Prednisone","Exercise gently, manage stress.",joint pain and swelling,"joint,pain,swelling"
7,swollen glands in neck,Lymphadenopathy,"Amoxicillin, Analgesics","Monitor swelling, take antibiotics if needed.",swollen glands in neck,neck
8,night sweats and weight loss,Tuberculosis,"Isoniazid, Rifampin","Take full antibiotic course, avoid contact.",night sweats and weight loss,weight
9,diarrhea and stomach cramps,Gastroenteritis,"Loperamide, Oral Rehydration","Stay hydrated, eat bland food.",diarrhea and stomach cramps,"cramps,diarrhea,stomach"
10,tiredness and frequent urination,Type 2 Diabetes,"Metformin, Glipizide","Exercise regularly, control sugar intake.",tiredness and frequent urination,
11,sensitivity to light and headaches,Meningitis,"Ceftriaxone, Dexamethasone",Seek emergency care immediately.,sensitivity to light and headaches,
12,dry mouth and excessive thirst,Dehydration,"ORS, IV Fluids","Drink more fluids, avoid excessive heat.",dry mouth and excessive thirst,mouth
13,blurred vision and eye pain,Glaucoma,"Latanoprost, Timolol","Use eye drops regularly, avoid strain.",blurred vision and eye pain,"eye,pain,vision"
14,sore throat and mild fever,Pharyngitis,"Paracetamol, Lozenges","Drink warm fluids, rest well.",sore throat and mild fever,"fever,throat"
15,abdominal pain and bloating,Acid Reflux,"Omeprazole, Ranitidine","Avoid spicy food, elevate head while sleeping.",abdominal pain and bloating,pain
16,chest pain and dizziness,Heart Disease,"Aspirin, Nitroglycerin","Avoid stress, follow heart-healthy diet.",chest pain and dizziness,"chest,pain"
