ID,Symptoms/Question,Disease Prediction,Recommended Medicines,Advice,clean_question
1,muscle cramps and weakness,Electrolyte Imbalance,"Electrolyte solution, Potassium supplements","Stay hydrated, maintain balanced diet.",muscle cramps and weakness
2,cold hands and feet,Raynaud's Disease,"Nifedipine, Losartan","Keep warm, reduce stress.",cold hands and feet
3,back pain and stiffness,Herniated Disc,"Ibuprofen, Muscle relaxants","Maintain good posture, apply cold/heat.",back pain and stiffness
4,headache and nausea,Migraine,"Sumatriptan, Naproxen","Avoid triggers, rest in a dark room.",headache and nausea
5,persistent cough with mucus,Bronchitis,"Azithromycin, Cough suppressants","Drink fluids, avoid smoke.",persistent cough with mucus
6,joint pain and swelling,Rheumatoid Arthritis,"Methotrexate, Prednisone","Exercise gently, manage stress.",joint pain and swelling
7,swollen glands in neck,Lymphadenopathy,"Amoxicillin, Analgesics","Monitor swelling, take antibiotics if needed.",swollen glands in neck
8,night sweats and weight loss,Tuberculosis,"Isoniazid, Rifampin","Take full antibiotic course, avoid contact.",night sweats and weight loss
9,diarrhea and stomach cramps,Gastroenteritis,"Loperamide, Oral Rehydration","Stay hydrated, eat bland food.",diarrhea and stomach cramps
10,tiredness and frequent urination,Type 2 Diabetes,"Metformin, Glipizide","Exercise regularly, control sugar intake.",tiredness and frequent urination
11,sensitivity to light and headaches,Meningitis,"Ceftriaxone, Dexamethasone",Seek emergency care immediately.,sensitivity to light and headaches
12,dry mouth and excessive thirst,Dehydration,"ORS, IV Fluids","Drink more fluids, avoid excessive heat.",dry mouth and excessive thirst
13,blurred vision and eye pain,Glaucoma,"Latanoprost, Timolol","Use eye drops regularly, avoid strain.",blurred vision and eye pain
14,sore throat and mild fever,Pharyngitis,"Paracetamol, Lozenges","Drink warm fluids, rest well.",sore throat and mild fever
15,abdominal pain and bloating,Acid Reflux,"Omeprazole, Ranitidine","Avoid spicy food, elevate head while sleeping.",abdominal pain and bloating
16,chest pain and dizziness,Heart Disease,"Aspirin, Nitroglycerin","Avoid stress, follow heart-healthy diet.",chest pain and dizziness
17,itchy skin and rash,Eczema,"Hydrocortisone, Moisturizers","Use moisturizers, avoid allergens.",itchy skin and rash
18,shortness of breath and cough,Asthma,"Salbutamol, Fluticasone","Avoid allergens, use inhaler as prescribed.",shortness of breath and cough
19,frequent nosebleeds,Hypertension,"Lisinopril, Amlodipine","Reduce salt intake, exercise daily.",frequent nosebleeds
20,difficulty sleeping,Insomnia,"Melatonin, Zolpidem","Maintain sleep schedule, avoid caffeine.",difficulty sleeping
21,fever and chills,Viral Fever,Paracetamol,Take rest and drink plenty of fluids,fever and chills
22,runny nose and sneezing,Common Cold,Cetirizine,Avoid cold drinks and rest well,runny nose and sneezing
23,sore throat and cough,Throat Infection,"Paracetamol, Lozenges",Gargle with warm salt water,sore throat and cough
